pid_from,pid_to
131,39
49,58
81,21
81,127
152,71
152,187
72,124
39,41
20,196
159,20
172,196
65,107
102,41
60,160
16,104
47,41
138,159
179,159
179,138
179,65
48,127
48,20
48,159
48,138
191,90
201,104
151,65
141,104
155,56
68,54
68,37
68,168
68,85
68,99
68,57
68,100
68,123
68,134
68,173
68,88
68,137
68,61
97,131
97,107
97,37
97,169
97,39
97,170
97,59
97,159
97,184
97,160
97,60
97,16
97,138
97,62
120,84
120,21
120,42
120,125
26,91
26,44
156,188
156,99
156,144
142,167
142,23
142,100
142,176
63,84
63,21
63,42
63,125
181,19
181,77
181,105
69,104
157,204
157,194
157,61
157,161
157,187
157,114
157,89
157,186
157,41
157,102
157,136
157,18
157,74
157,183
166,91
166,89
166,206
25,84
83,125
80,41
80,102
80,47
80,127
80,78
177,132
177,102
177,41
177,47
177,127
35,205
35,90
35,103
35,184
35,193
121,203
121,200
121,92
121,139
121,91
121,184
121,86
121,107
53,65
53,151
111,159
111,138
111,179
111,65
111,164